timestamp,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,mbps,drop_delta,error_delta
2026-05-14T15:05:42,6027,11481,0,0,0,0,0.0,0,0
2026-05-14T15:05:44,6097,11551,0,0,0,0,0.001,0,0
2026-05-14T15:05:46,6097,11551,0,0,0,0,0.0,0,0
2026-05-14T15:05:48,6097,11551,0,0,0,0,0.0,0,0
2026-05-14T15:05:50,6097,11551,0,0,0,0,0.0,0,0
2026-05-14T15:05:53,6097,11551,0,0,0,0,0.0,0,0
2026-05-14T15:05:55,6097,11551,0,0,0,0,0.0,0,0
2026-05-14T15:05:57,6097,11551,0,0,0,0,0.0,0,0
2026-05-14T15:05:59,6097,11551,0,0,0,0,0.0,0,0
2026-05-14T15:06:01,6097,11551,0,0,0,0,0.0,0,0
2026-05-14T15:06:03,6097,11551,0,0,0,0,0.0,0,0
2026-05-14T15:06:06,6097,11551,0,0,0,0,0.0,0,0
2026-05-14T15:06:08,6097,11551,0,0,0,0,0.0,0,0
2026-05-14T15:06:10,6097,11551,0,0,0,0,0.0,0,0
2026-05-14T15:06:12,6097,11551,0,0,0,0,0.0,0,0
2026-05-14T15:06:14,6097,11551,0,0,0,0,0.0,0,0
2026-05-14T15:06:16,6097,11551,0,0,0,0,0.0,0,0
2026-05-14T15:06:19,6097,11551,0,0,0,0,0.0,0,0
2026-05-14T15:06:21,6097,11621,0,0,0,0,0.0,0,0
2026-05-14T15:06:23,6097,11621,0,0,0,0,0.0,0,0
2026-05-14T15:06:25,6097,11621,0,0,0,0,0.0,0,0
2026-05-14T15:06:27,6097,11621,0,0,0,0,0.0,0,0
2026-05-14T15:06:29,6097,11621,0,0,0,0,0.0,0,0
2026-05-14T15:06:31,6097,11621,0,0,0,0,0.0,0,0
2026-05-14T15:06:33,6167,11691,0,0,0,0,0.001,0,0
2026-05-14T15:06:35,6167,11691,0,0,0,0,0.0,0,0
2026-05-14T15:06:38,6237,11831,0,0,0,0,0.001,0,0
2026-05-14T15:06:40,6237,11831,0,0,0,0,0.0,0,0
2026-05-14T15:06:42,6237,11831,0,0,0,0,0.0,0,0
2026-05-14T15:06:44,6344,12152,0,0,0,0,0.001,0,0
2026-05-14T15:06:46,6414,12222,0,0,0,0,0.001,0,0
2026-05-14T15:06:48,6414,12222,0,0,0,0,0.0,0,0
2026-05-14T15:06:50,6414,12222,0,0,0,0,0.0,0,0
2026-05-14T15:06:52,6414,12222,0,0,0,0,0.0,0,0
2026-05-14T15:06:54,6484,12292,0,0,0,0,0.001,0,0
2026-05-14T15:06:57,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:06:59,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:01,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:03,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:05,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:07,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:09,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:11,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:13,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:15,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:18,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:20,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:22,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:24,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:26,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:29,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:31,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:33,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:35,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:37,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:39,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:41,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:43,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:45,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:47,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:50,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:52,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:54,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:56,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:07:58,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:08:00,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:08:02,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:08:04,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:08:07,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:08:09,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:08:11,6484,12292,0,0,0,0,0.0,0,0
2026-05-14T15:08:13,6484,12362,0,0,0,0,0.0,0,0
2026-05-14T15:08:15,6484,12362,0,0,0,0,0.0,0,0
2026-05-14T15:08:18,6484,12362,0,0,0,0,0.0,0,0
2026-05-14T15:08:20,6484,12362,0,0,0,0,0.0,0,0
2026-05-14T15:08:22,6484,12362,0,0,0,0,0.0,0,0
2026-05-14T15:08:24,6484,12362,0,0,0,0,0.0,0,0
2026-05-14T15:08:26,6484,12362,0,0,0,0,0.0,0,0
2026-05-14T15:08:28,6554,12432,0,0,0,0,0.001,0,0
2026-05-14T15:08:30,6554,12432,0,0,0,0,0.0,0,0
2026-05-14T15:08:32,6554,12432,0,0,0,0,0.0,0,0
2026-05-14T15:08:34,6554,12432,0,0,0,0,0.0,0,0
2026-05-14T15:08:37,6624,12502,0,0,0,0,0.001,0,0
2026-05-14T15:08:39,6624,12502,0,0,0,0,0.0,0,0
2026-05-14T15:08:41,6624,12502,0,0,0,0,0.0,0,0
2026-05-14T15:08:43,6624,12502,0,0,0,0,0.0,0,0
2026-05-14T15:08:45,6624,12572,0,0,0,0,0.0,0,0
2026-05-14T15:08:47,6624,12572,0,0,0,0,0.0,0,0
2026-05-14T15:08:49,6624,12572,0,0,0,0,0.0,0,0
2026-05-14T15:08:51,6731,12786,0,0,0,0,0.001,0,0
2026-05-14T15:08:53,6731,12893,0,0,0,0,0.0,0,0
2026-05-14T15:08:55,6731,12893,0,0,0,0,0.0,0,0
2026-05-14T15:08:57,6731,12893,0,0,0,0,0.0,0,0
2026-05-14T15:08:59,6731,12893,0,0,0,0,0.0,0,0
2026-05-14T15:09:01,6801,12963,0,0,0,0,0.001,0,0
2026-05-14T15:09:03,6801,12963,0,0,0,0,0.0,0,0
2026-05-14T15:09:06,6801,12963,0,0,0,0,0.0,0,0
